singular,plural,article
beloved,beloveds,a
belt,belts,a
bench,benches,a
bend,bends,a
bender,benders,a
benediction,benedictions,a
benefaction,benefactions,a
benefactor,benefactors,a
benefactress,benefactresses,a
benefice,benefices,a
beneficence,beneficence,a
beneficial,beneficials,a
beneficiary,beneficiaries,a
benefit,benefits,a
benevolence,benevolence,a
bent,bents,a
benzene,benzene,a
bequest,bequests,a
bereavement,bereavements,a
berg,bergs,a
beriberi,beriberi,a
berm,berms,a
berry,berries,a
berth,berths,a
beryl,beryls,a
beryllium,beryllium,a
besom,besoms,a
bestiality,bestiality,a
bestiary,bestiaries,a
bestowal,bestowal,a
bet,bets,a
beta,betas,a
betrayal,betrayals,a
betrothal,betrothals,a
betrothed,betrothed,a
better,betters,a
betterment,betterment,a
bettor,bettors,a
bevel,bevels,a
beverage,beverages,a
bewilderment,bewilderment,a
bias,biases,a
bib,bibs,a
bibliographer,bibliographers,a
bibliography,bibliographies,a
bibliophile,bibliophiles,a
bicentennial,bicentennials,a
biceps,biceps,a
bicuspid,bicuspids,a
bicycle,bicycles,a
bicyclist,bicyclists,a
bid,bids,a
bidder,bidders,a
biddy,biddies,a
bidet,bidets,a
biennial,biennials,a
bifurcation,bifurcations,a
bigamist,bigamists,a
bigamy,bigamies,a
bighorn,bighorns,a
bight,bights,a
bigness,bigness,a
bigot,bigots,a
bigotry,bigotries,a
bike,bikes,a
bikini,bikinis,a
bile,biles,a
bilge,bilges,a
bilingual,bilinguals,a
bill,bills,a
billboard,billboards,a
billet,billets,a
billiards,billiards,a
billion,billions,a
billow,billows,a
billy,billies,a
bimonthly,bimonthlies,a
bin,bins,a
binary,binaries,a
binder,binders,a
binding,bindings,a
binge,binges,a
bingo,bingo,a
binning,binning,a
binomial,binomials,a
biochemical,biochemicals,a
biochemist,biochemists,a
biochemistry,biochemistries,a
biographer,biographers,a
biography,biographies,a
biologist,biologists,a
biology,biologies,a
biophysics,biophysics,a
biopsy,biopsies,a
biosphere,biospheres,a
biped,bipeds,a
biplane,biplanes,a
bipolar,bipolars,a
birch,birches,a
bird,birds,a
birdie,birdies,a
birdseed,birdseed,a
birth,births,a
birthday,birthdays,a
birthmark,birthmarks,a
birthplace,birthplaces,a
birthright,birthrights,a
biscuit,biscuits,a
bisection,bisection,a
bisector,bisectors,a
bisexual,bisexuals,a
bisexuality,bisexuality,a
bishop,bishops,a
bishopric,bishoprics,a
bismuth,bismuth,a
bison,bisons,a
bit,bits,a
bitch,bitches,a
bite,bites,a
bittern,bitterns,a
bitterness,bitterness,a
bitters,bitters,a
bittersweet,bittersweet,a
bitumen,bitumen,a
bivalve,bivalves,a
bivouac,bivouacs,a
biweekly,biweeklies,a
black,blacks,a
blackberry,blackberries,a
blackbird,blackbirds,a
blackboard,blackboards,a
blackhead,blackheads,a
blackjack,blackjack,a
blackmail,blackmail,a
blackness,blackness,a
blackout,blackouts,a
blacksmith,blacksmiths,a
blackthorn,blackthorn,a
bladder,bladders,a
blade,blades,a
blame,blame,a
blamer,blamers,a
blancmange,blancmanges,a
blandishment,blandishments,a
blandness,blandness,a
blank,blanks,a
blanket,blankets,a
blankness,blankness,a
blasphemy,blasphemies,a
blast,blasts,a
blaster,blasters,a
blaze,blazes,a
blazer,blazers,a
bleach,bleaches,a
bleacher,bleachers,a
bleak,bleak,a
bleakness,bleakness,a
bleat,bleats,a
bleed,bleeds,a
bleeder,bleeders,a
bleeding,bleedings,a
blemish,blemishes,a
blend,blends,a
blender,blenders,a
blessedness,blessedness,a
blessing,blessings,a
blight,blight,a
blimp,blimps,a
blind,blinds,a
blindfold,blindfolds,a
blindness,blindnesses,a
blink,blinks,a
blinker,blinkers,a
blinking,blinking,a
blip,blips,a
bliss,bliss,a
blissfulness,blissfulness,a
blister,blisters,a
blitz,blitzes,a
blizzard,blizzards,a
bloat,bloat,a
blob,blobs,a
bloc,blocs,a
block,blocks,a
blockade,blockades,a
blockage,blockages,a
blockbuster,blockbusters,a
blockhouse,blockhouses,a
blocking,blockings,a
blonde,blondes,a
blood,bloods,a
bloodhound,bloodhounds,a
bloodmobile,bloodmobiles,a
bloodshed,bloodshed,a
bloodstain,bloodstains,a
bloodsucker,bloodsuckers,a
bloodthirstiness,bloodthirstiness,a
bloom,blooms,a
bloomer,bloomers,a
blossom,blossoms,a
blot,blots,a
blotch,blotches,a
blotter,blotters,a
blotting,blottings,a
blouse,blouses,a
blow,blows,a
blower,blowers,a
blowgun,blowguns,a
blowing,blowings,a
blowout,blowouts,a
blowtorch,blowtorches,a
blubber,blubber,a
blue,blues,a
bluebell,bluebells,a
blueberry,blueberries,a
bluebird,bluebirds,a
bluebottle,bluebottles,a
bluefish,bluefish,a
bluegrass,bluegrass,a
bluenose,bluenoses,a
blueprint,blueprints,a
bluff,bluffs,a
blunder,blunders,a
blunderbuss,blunderbusses,a
blunderer,blunderers,a
bluntness,bluntness,a
blurb,blurbs,a
blush,blush,a
blusher,blushers,a
blushing,blushing,a
bluster,blusters,a
boa,boas,a
boar,boars,a
board,boards,a
boarder,boarders,a
boast,boasts,a
boastfulness,boastfulness,a
boat,boats,a
boater,boaters,a
boatman,boatmen,a
boatswain,boatswains,a
bob,bobs,a
bobbin,bobbins,a
bobby,bobbies,a
bobcat,bobcats,a
bobolink,bobolinks,a
bobsled,bobsleds,a
bobtail,bobtails,a
bobwhite,bobwhites,a
bodega,bodegas,a
bodice,bodices,a
bodkin,bodkins,a
body,bodies,a
bodyguard,bodyguards,a
bodywork,bodywork,a
bog,bogs,a
bogey,bogeys,a
bogie,bogies,a
bogy,bogies,a
boil,boils,a
boiler,boilers,a
boisterousness,boisterousness,a
bola,bolas,a
boldness,boldness,a
bole,boles,a
bolero,boleros,a
boll,bolls,a
boloney,boloney,a
bolster,bolsters,a
bolt,bolts,a
bomb,bombs,a
bombardier,bombardiers,a
bombardment,bombardments,a
bombast,bombast,a
bomber,bombers,a
bonanza,bonanzas,a
bonbon,bonbons,a
bond,bonds,a
bondage,bondage,a
bonding,bondings,a
bondsman,bondsmen,a
bone,bones,a
bonehead,boneheads,a
boner,boners,a
bonfire,bonfires,a
bong,bongs,a
bongo,bongoes,a
bonito,bonito,a
bonnet,bonnets,a
bonus,bonuses,a
boo,boos,a
boob,boobs,a
booby,boobies,a
boodle,boodle,a
book,books,a
bookie,bookies,a
booking,bookings,a
bookkeeper,bookkeepers,a
bookkeeping,bookkeeping,a
booklet,booklets,a
bookmaker,bookmakers,a
bookmaking,bookmaking,a
bookmark,bookmarks,a
bookseller,booksellers,a
bookshelf,bookshelves,a
bookstore,bookstores,a
bookworm,bookworms,a
boom,booms,a
boomerang,boomerangs,a
boon,boons,a
boondocks,boondocks,a
boondoggle,boondoggles,a
boor,boors,a
boost,boosts,a
booster,boosters,a
boot,boots,a
bootee,bootees,a
booth,booths,a
bootlegging,bootlegging,a
bootstrap,bootstraps,a
booze,booze,a
boozer,boozers,a
bop,bops,a
borax,borax,a
border,borders,a
borderland,borderlands,a
borderline,borderlines,a
bore,bores,a
boredom,boredom,a
borer,borers,a
boron,boron,a
borough,boroughs,a
borrower,borrowers,a
borrowing,borrowings,a
borsch,borsch,a
borscht,borscht,a
bosom,bosoms,a
boss,bosses,a
bossiness,bossiness,a
botanical,botanicals,a
botanist,botanists,a
botany,botany,a
bother,bothers,a
bottle,bottles,a
bottleneck,bottlenecks,a
bottom,bottoms,a
botulism,botulism,a
bough,boughs,a
bouillon,bouillons,a
boulder,boulders,a
boulevard,boulevards,a
bounce,bounces,a
bouncer,bouncers,a
bound,bounds,a
boundary,boundaries,a
bounty,bounties,a
bouquet,bouquets,a
bourbon,bourbons,a
bourgeois,bourgeois,a
bourgeoisie,bourgeoisies,a
bout,bouts,a
bovine,bovines,a
bow,bows,a
bowel,bowels,a
bower,bowers,a
bowl,bowls,a
bowler,bowlers,a
bowman,bowmen,a
bowstring,bowstrings,a
box,boxes,a
boxcar,boxcars,a
boxer,boxers,a
boxwood,boxwood,a
boy,boys,a
boycott,boycotts,a
boyhood,boyhoods,a
boyishness,boyishness,a
boysenberry,boysenberries,a
bra,bras,a
brace,braces,a
bracelet,bracelets,a
bracken,bracken,a
bracket,brackets,a
bract,bracts,a
brag,brag,a
braid,braids,a
brain,brains,a
brainwashing,brainwashing,a
brake,brakes,a
brakeman,brakemen,a
bramble,bramble,a
bran,brans,a
branch,branches,a
branching,branchings,a
brand,brands,a
brandy,brandies,a
brashness,brashness,a
brass,brasses,a
brassiere,brassieres,a
brat,brats,a
bravado,bravadoes,a
brave,braves,a
bravery,bravery,a
bravo,bravoes,a
brawl,brawls,a
brawn,brawn,a
brawniness,brawniness,a
bray,brays,a
brazenness,brazenness,a
breach,breaches,a
bread,breads,a
breadbasket,breadbaskets,a
breadfruit,breadfruits,a
breadth,breadths,a
breadwinner,breadwinners,a
break,breaks,a
breakable,breakables,a
breakage,breakages,a
breakdown,breakdowns,a
breaker,breakers,a
breakfast,breakfasts,a
breakthrough,breakthroughs,a
breakup,breakups,a
breast,breasts,a
breastbone,breastbones,a
breath,breaths,a
breather,breathers,a
breathing,breathings,a
breathlessness,breathlessness,a
breech,breeches,a
breed,breeds,a
breeder,breeders,a
breeding,breedings,a
breeze,breezes,a
breeziness,breeziness,a
brethren,brethren,a
brevity,brevity,a
brew,brews,a
brewer,brewers,a
brewery,breweries,a
briar,briars,a
bribe,bribes,a
bribery,bribery,a
brick,bricks,a
bricklayer,bricklayers,a
bricklaying,bricklaying,a
bride,brides,a
bridegroom,bridegrooms,a
bridesmaid,bridesmaids,a
bridge,bridges,a
bridgehead,bridgeheads,a
bridgework,bridgework,a
bridle,bridles,a
brief,briefs,a
briefing,briefings,a
briefness,briefness,a
brier,briers,a
brigade,brigades,a
brigand,brigands,a
brigandage,brigandage,a
brightness,brightnesses,a
brilliance,brilliance,a
brilliancy,brilliancy,a
brilliant,brilliants,a
brim,brims,a
brimstone,brimstone,a
brine,brines,a
brink,brinks,a
briquette,briquettes,a
brisket,brisket,a
briskness,briskness,a
bristle,bristles,a
brittleness,brittleness,a
broad,broads,a
broadcast,broadcasts,a
broadcaster,broadcasters,a
broadcloth,broadcloth,a
broadness,broadness,a
broadside,broadsides,a
brocade,brocades,a
broccoli,broccoli,a
brochure,brochures,a
broil,broils,a
broiler,broilers,a
broker,brokers,a
brokerage,brokerages,a
bromide,bromides,a
bromine,bromine,a
bronchitis,bronchitides,a
bronchus,bronchi,a
bronco,broncos,a
bronze,bronzes,a
brooch,brooches,a
brood,broods,a
brooder,brooders,a
brooding,broodings,a
brook,brooks,a
broom,brooms,a
broomstick,broomsticks,a
broth,broths,a
brothel,brothels,a
brother,brothers,a
brotherhood,brotherhoods,a
brotherliness,brotherliness,a
brow,brows,a
brown,browns,a
brownie,brownies,a
brownstone,brownstones,a
browse,browses,a
browser,browsers,a
bruin,bruins,a
bruise,bruises,a
brunch,brunches,a
brunet,brunets,a
brunette,brunettes,a
brunt,brunt,a
brush,brushes,a
brushing,brushings,a
brushwood,brushwood,a
brusqueness,brusqueness,a
brutality,brutality,a
brute,brutes,a
bubble,bubbles,a
buccaneer,buccaneers,a
buck,bucks,a
bucket,buckets,a
bucketful,bucketfuls,a
buckeye,buckeyes,a
buckle,buckles,a
buckram,buckram,a
buckshot,buckshot,a
buckskin,buckskin,a
bucktooth,buckteeth,a
buckwheat,buckwheat,a
bud,buds,a
buddy,buddies,a
budgerigar,budgerigars,a
budget,budgets,a
buff,buffs,a
buffalo,buffalos,a
buffer,buffers,a
buffet,buffets,a
buffoon,buffoons,a
buffoonery,buffoonery,a
bug,bugs,a
buggy,buggies,a
bugle,bugles,a
bugler,buglers,a
build,builds,a
builder,builders,a
building,buildings,a
buildup,buildups,a
bulb,bulbs,a
bulge,bulges,a
bulimia,bulimia,a
bulimic,bulimics,a
bulk,bulks,a
bulkhead,bulkheads,a
bulkiness,bulkiness,a
bull,bulls,a
bulldog,bulldogs,a
bulldozer,bulldozers,a
bullet,bullets,a
bulletin,bulletins,a
bullfight,bullfights,a
bullfighter,bullfighters,a
bullfighting,bullfighting,a
bullfinch,bullfinches,a
bullfrog,bullfrogs,a
bullion,bullion,a
bullock,bullocks,a
bully,bullies,a
bulrush,bulrushes,a
bum,bums,a
bumblebee,bumblebees,a
bumbler,bumblers,a
bump,bumps,a
bumper,bumpers,a
bumpkin,bumpkins,a
bun,buns,a
bunch,bunches,a
bundle,bundles,a
bung,bungs,a
bungalow,bungalows,a
bunion,bunions,a
bunk,bunks,a
bunker,bunkers,a
bunny,bunnies,a
bunt,bunts,a
bunting,buntings,a
buoy,buoys,a
buoyancy,buoyancies,a
bur,burs,a
burden,burdens,a
burdock,burdocks,a
bureau,bureaus,a
bureaucracy,bureaucracies,a
bureaucrat,bureaucrats,a
burg,burgs,a
burgher,burghers,a
burglar,burglars,a
burglary,burglaries,a
burial,burials,a
burka,burkas,a
burlap,burlap,a
burlesque,burlesques,a
burn,burns,a
burner,burners,a
burning,burnings,a
burnoose,burnooses,a
burnous,burnouses,a
burnout,burnout,a
burr,burrs,a
burrito,burritos,a
burro,burros,a
burrow,burrows,a
bursitis,bursitides,a
burst,bursts,a
bus,buses,a
bush,bushes,a
bushel,bushels,a
bushiness,bushiness,a
bushing,bushings,a
business,businesses,a
businessman,businessmen,a
businesswoman,businesswomen,a
bust,busts,a
buster,busters,a
busybody,busybodies,a
busyness,busyness,a
butane,butane,a
butch,butches,a
butcher,butchers,a
butchery,butcheries,a
butler,butlers,a
butt,butts,a
butter,butters,a
buttercup,buttercups,a
butterfat,butterfat,a
butterfingers,butterfingers,a
butterfly,butterflies,a
buttermilk,buttermilk,a
butternut,butternuts,a
butterscotch,butterscotch,a
buttock,buttocks,a
button,buttons,a
buttonhole,buttonholes,a
buttress,buttresses,a
buy,buys,a
buyer,buyers,a
buzz,buzzes,a
buzzard,buzzards,a
buzzer,buzzers,a
bylaw,bylaws,a
bypass,bypasses,a
bystander,bystanders,a
cab,cabs,a
cabal,cabals,a
cabana,cabanas,a
cabaret,cabarets,a
cabbage,cabbages,a
cabin,cabins,a
cabinet,cabinets,a
cabinetmaker,cabinetmakers,a
cable,cables,a
caboose,cabooses,a
cacao,cacao,a
cache,caches,a
cachet,cachets,a
cackle,cackles,a
cacophony,cacophonies,a
cactus,cactuses,a
cad,cads,a
cadaver,cadavers,a
caddie,caddies,a
caddy,caddies,a
cadence,cadences,a
cadenza,cadenzas,a
cadet,cadets,a
cadmium,cadmium,a
cadre,cadres,a
caduceus,caducei,a
cafeteria,cafeterias,a
cage,cages,a
caisson,caissons,a
cajolery,cajolery,a
cake,cakes,a
calabash,calabashes,a
calamine,calamine,a
calamity,calamities,a
calcine,calcines,a
calcite,calcite,a
calcium,calcium,a
calculation,calculations,a
calculator,calculators,a
calculus,calculi,a
caldron,caldrons,a
calendar,calendars,a
calf,calves,a
calfskin,calfskin,a
caliber,calibers,a
calibration,calibrations,a
calibrator,calibrators,a
calibre,calibres,a
calico,calicoes,a
caliper,calipers,a
caliph,caliphs,a
caliphate,caliphates,a
calisthenics,calisthenics,a
call,calls,a
caller,callers,a
calligrapher,calligraphers,a
calliper,callipers,a
callous,callouses,a
callousness,callousness,a
callus,calluses,a
calm,calm,a
calmness,calmness,a
caloric,calorics,a
calumny,calumnies,a
cam,cams,a
camber,cambers,a
cambium,cambium,a
camel,camels,a
cameo,cameos,a
camera,cameras,a
cameraman,cameramen,a
camisole,camisoles,a
camomile,camomile,a
camouflage,camouflages,a
camp,camps,a
campaign,campaigns,a
campaigner,campaigners,a
campanile,campaniles,a
camper,campers,a
campfire,campfires,a
campground,campgrounds,a
camphor,camphor,a
campus,campuses,a
camshaft,camshafts,a
canal,canals,a
canard,canards,a
canary,canaries,a
cancelation,cancelations,a
cancellation,cancellations,a
cancer,cancers,a
candelabrum,candelabra,a
candidacy,candidacies,a
candidate,candidates,a
candidness,candidness,a
candle,candles,a
candlelight,candlelight,a
candor,candor,a
candy,candies,a
cane,canes,a
canine,canines,a
canister,canisters,a
canker,cankers,a
cannery,canneries,a
cannibal,cannibals,a
cannibalism,cannibalism,a
cannon,cannons,a
canoe,canoes,a
canoeist,canoeists,a
canon,canons,a
canonization,canonization,a
canopy,canopies,a
cant,cants,a
cantaloupe,cantaloupes,a
cantankerousness,cantankerousness,a
canteen,canteens,a
canter,canters,a
cantilever,cantilevers,a
canto,cantos,a
cantor,cantors,a
canvas,canvases,a
canvasback,canvasbacks,a
canvass,canvasses,a
canyon,canyons,a
cap,caps,a
capability,capabilities,a
capaciousness,capaciousness,a
capacitance,capacitance,a
capacitor,capacitors,a
capacity,capacities,a
cape,capes,a
caper,capers,a
capillary,capillaries,a
capital,capitals,a
capitalism,capitalism,a
capitalist,capitalists,a
capitalization,capitalizations,a
capitulation,capitulation,a
capon,capons,a
capping,capping,a
caprice,caprices,a
capriciousness,capriciousness,a
capsule,capsules,a
captain,captains,a
captaincy,captaincies,a
caption,captions,a
captivation,captivation,a
captive,captives,a
captivity,captivity,a
captor,captors,a
capture,captures,a
car,cars,a
caramel,caramels,a
carapace,carapaces,a
carat,carats,a
caravan,caravans,a
caraway,caraways,a
carbide,carbide,a
carbine,carbines,a
carbohydrate,carbohydrates,a
carbon,carbons,a
carbonate,carbonates,a
carbonation,carbonation,a
carbuncle,carbuncles,a
carburetor,carburetors,a
carcinogen,carcinogens,a
carcinoma,carcinoma,a
card,cards,a
cardboard,cardboard,a
cardiac,cardiacs,a
cardigan,cardigans,a
cardinal,cardinals,a
cardiogram,cardiograms,a
cardiologist,cardiologists,a
cardiology,cardiologies,a
cardiovascular,cardiovasculars,a
care,cares,a
career,careers,a
carefulness,carefulness,a
carelessness,carelessness,a
caress,caresses,a
caret,carets,a
caretaker,caretakers,a
cargo,cargoes,a
caribou,caribou,a
caricature,caricatures,a
caricaturist,caricaturists,a
caries,caries,a
carmine,carmine,a
carnage,carnage,a
carnation,carnations,a
carnival,carnivals,a
carnivore,carnivores,a
carol,carols,a
carotid,carotids,a
carousal,carousal,a
carp,carps,a
carpal,carpals,a
carpel,carpels,a
carpenter,carpenters,a
carpentry,carpentry,a
carpet,carpets,a
carpus,carpi,a
carrel,carrels,a
carriage,carriages,a
carriageway,carriageways,a
carrier,carriers,a
carrion,carrion,a
carrot,carrots,a
cart,carts,a
cartel,cartels,a
cartilage,cartilages,a
cartographer,cartographers,a
cartography,cartographies,a
carton,cartons,a
cartoon,cartoons,a
cartoonist,cartoonists,a
cartridge,cartridges,a
carver,carvers,a
carving,carvings,a
cascade,cascades,a
case,cases,a
casein,casein,a
casement,casements,a
casework,casework,a
caseworker,caseworkers,a
cash,cash,a
cashew,cashews,a
cashier,cashiers,a
cashmere,cashmere,a
casing,casings,a
casino,casino,a
